simulation: 1
Number: customer type: event: station: time: 
491, Corporate, Production started, CSA Corporate 0 0, 31319.557236237924
491, Corporate, Production complete, CSA Corporate 0 0, 31580.631008753964
492, Corporate, Creation, Source corporate, 31357.926343963358
492, Corporate, Production started, CSA Corporate 0 1, 31357.926343963358
492, Corporate, Production complete, CSA Corporate 0 1, 31603.920996256926
493, Corporate, Creation, Source corporate, 31495.041675862343
493, Corporate, Production started, CSA Corporate 0 7, 31495.041675862343
493, Corporate, Production complete, CSA Corporate 0 7, 31606.74159108305
494, Corporate, Creation, Source corporate, 31426.579157878696
494, Corporate, Production started, CSA Corporate 0 5, 31426.579157878696
494, Corporate, Production complete, CSA Corporate 0 5, 31615.093403863215
502, Corporate, Creation, Source corporate, 31597.4571016838
502, Corporate, Production started, CSA Corporate 0 0, 31597.4571016838
502, Corporate, Production complete, CSA Corporate 0 0, 31757.591327645598
503, Corporate, Creation, Source corporate, 31633.477765748976
503, Corporate, Production started, CSA Corporate 0 2, 31633.477765748976
503, Corporate, Production complete, CSA Corporate 0 2, 31784.396954868673
505, Corporate, Creation, Source corporate, 31417.703266150693
505, Corporate, Production started, CSA Corporate 0 9, 31417.703266150693
505, Corporate, Production complete, CSA Corporate 0 9, 31790.108117364438
506, Corporate, Creation, Source corporate, 31688.7962352285
506, Corporate, Production started, CSA Corporate 0 4, 31688.7962352285
506, Corporate, Production complete, CSA Corporate 0 4, 31799.43429903618
510, Corporate, Creation, Source corporate, 31788.201259050416
510, Corporate, Production started, CSA Corporate 0 6, 31788.201259050416
510, Corporate, Production complete, CSA Corporate 0 6, 31892.08915526909
511, Corporate, Creation, Source corporate, 31752.441535865677
511, Corporate, Production started, CSA Corporate 0 7, 31752.441535865677
511, Corporate, Production complete, CSA Corporate 0 7, 31910.54319002112
514, Corporate, Creation, Source corporate, 31787.824787844453
514, Corporate, Production started, CSA Corporate 0 3, 31787.824787844453
514, Corporate, Production complete, CSA Corporate 0 3, 31971.336190082482
517, Corporate, Creation, Source corporate, 31627.917140062214
517, Corporate, Production started, CSA Corporate 0 5, 31627.917140062214
517, Corporate, Production complete, CSA Corporate 0 5, 32055.352114151923
518, Corporate, Creation, Source corporate, 31978.69279491094
518, Corporate, Production started, CSA Corporate 0 2, 31978.69279491094
518, Corporate, Production complete, CSA Corporate 0 2, 32084.68764173913
519, Corporate, Creation, Source corporate, 31855.264113785404
519, Corporate, Production started, CSA Corporate 0 8, 31855.264113785404
519, Corporate, Production complete, CSA Corporate 0 8, 32095.958275386998
523, Corporate, Creation, Source corporate, 31988.423850914474
523, Corporate, Production started, CSA Corporate 0 4, 31988.423850914474
523, Corporate, Production complete, CSA Corporate 0 4, 32145.30431033486
524, Corporate, Creation, Source corporate, 31873.109434759433
524, Corporate, Production started, CSA Corporate 0 0, 31873.109434759433
524, Corporate, Production complete, CSA Corporate 0 0, 32164.71889438724
525, Corporate, Creation, Source corporate, 31975.51522699889
525, Corporate, Production started, CSA Corporate 0 7, 31975.51522699889
525, Corporate, Production complete, CSA Corporate 0 7, 32194.154350439043
529, Corporate, Creation, Source corporate, 32169.177860683845
529, Corporate, Production started, CSA Corporate 0 5, 32169.177860683845
529, Corporate, Production complete, CSA Corporate 0 5, 32306.978917697892
531, Corporate, Creation, Source corporate, 32141.41228122012
531, Corporate, Production started, CSA Corporate 0 1, 32141.41228122012
